system:index,count,hotspot,.geo
+15897+63829,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.054531712762953,40.36960100391904]}"
+15897+66206,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.054531712762953,41.87295825387894]}"
+15897+66272,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.054531712762953,41.91470060915759]}"
+15898+66279,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.055164172691416,41.91912782865684]}"
+15899+66175,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.05579663261988,41.85335199609654]}"
+15900+66232,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.056429092548345,41.889402212019014]}"
+15901+66260,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.05706155247681,41.907111090016016]}"
+15902+66230,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.057694012405275,41.888137292162085]}"
+15902+66233,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.057694012405275,41.890034671947475]}"
+15903+66231,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.05832647233374,41.888769752090546]}"
+15903+66249,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.05832647233374,41.90015403080291]}"
+15904+66205,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.058642702297972,41.87232579395047]}"
+15904+66207,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.058958932262204,41.8735907138074]}"
+15904+66225,4,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.058010242369507,41.884974992519766]}"
+15905+66230,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.059591392190669,41.888137292162085]}"
+15906+66215,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.060223852119133,41.87865039323512]}"
+15906+66217,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.0599076221549,41.87991531309205]}"
+15907+66213,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.060856312047596,41.87738547337819]}"
+15907+66263,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.060540082083365,41.90900846980141]}"
+15907+66267,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.060856312047596,41.91122207955104]}"
+15908+66215,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06148877197606,41.87865039323512]}"
+15908+66264,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06148877197606,41.909640929729875]}"
+15909+66258,2,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.061805001940293,41.90584617015909]}"
+15909+66265,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.062121231904525,41.910273389658336]}"
+15910+66254,1,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.06275369183299,41.90331633044523]}"
+15911+66257,3,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.063175331785299,41.90500289025447]}"
